,Date,Negative,Neutral,Positive
2023-03-28,2023-03-28,0.1221530148978483,0.7034447383559724,0.17440223772226285
2023-03-29,2023-03-29,0.1221530148978483,0.7034447383559724,0.17440223772226285
2023-03-30,2023-03-30,0.23364067714299175,0.6019491165876388,0.16441018273536526
2023-03-31,2023-03-31,0.19323015525052947,0.6465651055646909,0.16020471350654855
2023-04-01,2023-04-01,0.19323015525052947,0.6465651055646909,0.16020471350654855
2023-04-02,2023-04-02,0.2518436655495315,0.6185750994086265,0.1295812067203223
2023-04-03,2023-04-03,0.15182247224545692,0.652336833933205,0.19584069583205535
2023-04-04,2023-04-04,0.15182247224545692,0.652336833933205,0.19584069583205535
2023-04-05,2023-04-05,0.10868948449635696,0.6766210971311444,0.21468942238106611
2023-04-06,2023-04-06,0.17142125596762248,0.6588842781653644,0.16969445375768344
2023-04-07,2023-04-07,0.3257742674276233,0.5687421503663063,0.10548357629217202
2023-04-08,2023-04-08,0.18630013560746295,0.47969960525285366,0.3340002484511324
2023-04-09,2023-04-09,0.220559702912421,0.4993200269401879,0.28012027614120694
2023-04-10,2023-04-10,0.220559702912421,0.4993200269401879,0.28012027614120694
2023-04-11,2023-04-11,0.220559702912421,0.4993200269401879,0.28012027614120694
2023-04-12,2023-04-12,0.220559702912421,0.4993200269401879,0.28012027614120694
2023-04-13,2023-04-13,0.15035118424301877,0.6600056242125182,0.1896431924784314
2023-04-14,2023-04-14,0.13655441805814103,0.5448575311650833,0.31858803905197414
2023-04-15,2023-04-15,0.13655441805814103,0.5448575311650833,0.31858803905197414
2023-04-16,2023-04-16,0.13655441805814103,0.5448575311650833,0.31858803905197414
2023-04-17,2023-04-17,0.22032211937766985,0.552623157389462,0.2270547136868117
2023-04-18,2023-04-18,0.17737699895913364,0.6757955162722925,0.1468274808380248
2023-04-19,2023-04-19,0.1570733330766892,0.6719209108146883,0.17100574802829038
2023-04-20,2023-04-20,0.174588092202744,0.646245021914894,0.17916687939485362
2023-04-21,2023-04-21,0.13891753786080316,0.6681127909523172,0.19296965996822354
2023-04-22,2023-04-22,0.13956529149723326,0.5510208177524554,0.30941389032482153
2023-04-23,2023-04-23,0.14722968288591468,0.5435516786846247,0.3092186385427008
2023-04-24,2023-04-24,0.0736782601856042,0.714869847538758,0.21145188358594783
2023-04-25,2023-04-25,0.12798929265126888,0.7062918959991701,0.1657187905294626
2023-04-26,2023-04-26,0.1501273924589221,0.644034186699267,0.2058384161356879
2023-04-27,2023-04-27,0.13751487150845712,0.6900456588498431,0.17243946846957278
2023-04-28,2023-04-28,0.14024090897500846,0.7011048059719496,0.15865428506348947
2023-04-29,2023-04-29,0.14024090897500846,0.7011048059719496,0.15865428506348947
2023-04-30,2023-04-30,0.14024090897500846,0.7011048059719496,0.15865428506348947
2023-05-01,2023-05-01,0.22375228604748065,0.5043268185626302,0.2719208989033682
2023-05-02,2023-05-02,0.12448402078056672,0.7365701509702761,0.13894582240668643
2023-05-03,2023-05-03,0.13370106773466234,0.679170187348958,0.1871287339962408
2023-05-04,2023-05-04,0.09134889890145903,0.6133716396117186,0.2952794616242306
2023-05-05,2023-05-05,0.23918303859385623,0.5576027061928202,0.20321425171224053
2023-05-06,2023-05-06,0.23918303859385623,0.5576027061928202,0.20321425171224053
2023-05-07,2023-05-07,0.23918303859385623,0.5576027061928202,0.20321425171224053
2023-05-08,2023-05-08,0.23918303859385623,0.5576027061928202,0.20321425171224053
2023-05-09,2023-05-09,0.0926887514914007,0.764838022190136,0.14247322387502084
2023-05-10,2023-05-10,0.12929568374992334,0.7273872156279633,0.14331710873541967
2023-05-11,2023-05-11,0.16593528471166288,0.6998865046882874,0.13417820971816366
2023-05-12,2023-05-12,0.18909993150737134,0.6195260747025411,0.1913739853499767
2023-05-13,2023-05-13,0.16726107479605287,0.6643282056320459,0.1684107058847855
2023-05-14,2023-05-14,0.05765036240165281,0.6894422208561617,0.25290742450777215
2023-05-15,2023-05-15,0.05765036240165281,0.6894422208561617,0.25290742450777215
2023-05-16,2023-05-16,0.05765036240165281,0.6894422208561617,0.25290742450777215
2023-05-17,2023-05-17,0.0946102396192911,0.7099300331583148,0.19545973159961005
2023-05-18,2023-05-18,0.11546613138658628,0.732647397466106,0.15188647172579614
2023-05-19,2023-05-19,0.19463011341556433,0.5885394111695424,0.21683046293221936
2023-05-20,2023-05-20,0.4746740030149292,0.3703162546612714,0.15500970706833817
2023-05-21,2023-05-21,0.1936228562146425,0.710469960172971,0.09590717256069177
2023-05-22,2023-05-22,0.15302118425461225,0.6889127530157566,0.15806604784059644
2023-05-23,2023-05-23,0.1406538547000049,0.7032976434433035,0.15604849921406377
2023-05-24,2023-05-24,0.1406538547000049,0.7032976434433035,0.15604849921406377
